WCVP_id;accepted_binomial;authority;EUNIS_name;original_name;family;order;APG_clade
2591784;Scorpiurus muricatus;L.;Scorpiurus muricatus;Scorpiurus muricatus;Fabaceae;Fabales;rosids
2591784;Scorpiurus muricatus;L.;Scorpiurus muricatus;Scorpiurus subvillosus;Fabaceae;Fabales;rosids
2440640;Trifolium angustifolium;L.;Trifolium angustifolium;Trifolium angustifolium;Fabaceae;Fabales;rosids
2440792;Trifolium arvense;L.;Trifolium arvense;Trifolium arvense;Fabaceae;Fabales;rosids
2439378;Trifolium campestre;Schreb.;Trifolium campestre;Trifolium campestre;Fabaceae;Fabales;rosids
2440043;Trifolium pratense;L.;Trifolium pratense;Trifolium pratense;Fabaceae;Fabales;rosids
2439997;Trifolium repens;L.;Trifolium repens;Trifolium repens;Fabaceae;Fabales;rosids
2439975;Trifolium resupinatum;L.;Trifolium resupinatum;Trifolium resupinatum;Fabaceae;Fabales;rosids
2439682;Trifolium scabrum;L.;Trifolium scabrum;Trifolium scabrum;Fabaceae;Fabales;rosids
2439609;Trifolium stellatum;L.;Trifolium stellatum;Trifolium stellatum;Fabaceae;Fabales;rosids
2439800;Trifolium tomentosum;L.;Trifolium tomentosum;Trifolium tomentosum;Fabaceae;Fabales;rosids
2452680;Vicia peregrina;L.;Vicia peregrina;Vicia peregrina;Fabaceae;Fabales;rosids
2452750;Vicia sativa;L.;Vicia sativa;Vicia sativa;Fabaceae;Fabales;rosids
172055;Quercus cerris;L.;Quercus cerris;Quercus cana;Fagaceae;Fagales;rosids
172199;Quercus coccifera;L.;Quercus coccifera;Quercus coccifera;Fagaceae;Fagales;rosids
173162;Quercus ilex;L.;Quercus ilex;Quercus ilex;Fagaceae;Fagales;rosids
175312;Quercus suber;L.;Quercus suber;Quercus suber;Fagaceae;Fagales;rosids
2708736;Centaurium pulchellum;(Sw.) Hayek ex Hand.-Mazz., Stadlm., Janch. & Faltis;Centaurium pulchellum;Centaurium pulchellum;Gentianaceae;Gentianales;asterids
51670;Crucianella latifolia;L.;Crucianella latifolia;Crucianella latifolia;Rubiaceae;Gentianales;asterids
51675;Crucianella maritima;L.;Crucianella maritima;Crucianella maritima;Rubiaceae;Gentianales;asterids
510223;Periploca angustifolia;Labill.;Periploca angustifolia;Periploca angustifolia;Apocynaceae;Gentianales;asterids
2823621;Geranium molle;L.;Geranium molle;Geranium molle;Geraniaceae;Geraniales;rosids
42347;Cleonia lusitanica;(L.) L.;Cleonia lusitanica;Cleonia lusitanica;Lamiaceae;Lamiales;asterids
108971;Lavandula angustifolia;Mill.;Lavandula angustifolia;Lavandula angustifolia;Lamiaceae;Lamiales;asterids
109033;Lavandula latifolia;Medik.;Lavandula latifolia;Lavandula latifolia;Lamiaceae;Lamiales;asterids
109059;Lavandula pedunculata;(Mill.) Cav.;Lavandula pedunculata;Lavandula pedunculata;Lamiaceae;Lamiales;asterids
109094;Lavandula stoechas;L.;Lavandula stoechas;Lavandula stoechas;Lamiaceae;Lamiales;asterids
124916;Mentha aquatica;L.;Mentha longifolia;Mentha aquatica;Lamiaceae;Lamiales;asterids
355819;Phillyrea angustifolia;L.;Phillyrea angustifolia;Phillyrea angustifolia;Oleaceae;Lamiales;asterids
355786;Phillyrea latifolia;L.;Phillyrea latifolia;Phillyrea latifolia;Oleaceae;Lamiales;asterids
2571391;Plantago alpina;L.;Plantago alpina;Plantago alpina;Plantaginaceae;Lamiales;asterids
2571444;Plantago coronopus;L.;Plantago coronopus;Plantago coronopus;Plantaginaceae;Lamiales;asterids
2571499;Plantago crassifolia;Forssk.;Plantago crassifolia;Plantago crassifolia;Plantaginaceae;Lamiales;asterids
2570000;Plantago lagopus;L.;Plantago lagopus;Plantago lagopus;Plantaginaceae;Lamiales;asterids
2569834;Plantago lanceolata;L.;Plantago lanceolata;Plantago lanceolata;Plantaginaceae;Lamiales;asterids
2569743;Plantago major;L.;Plantago major;Plantago major;Plantaginaceae;Lamiales;asterids
2569772;Plantago maritima;L.;Plantago maritima;Plantago maritima;Plantaginaceae;Lamiales;asterids
2570774;Plantago subulata;L.;Plantago subulata;Plantago serpentina;Plantaginaceae;Lamiales;asterids
2570774;Plantago subulata;L.;Plantago holosteum;Plantago serpentina;Plantaginaceae;Lamiales;asterids
166020;Prunella vulgaris;L.;Prunella vulgaris;Prunella vulgaris;Lamiaceae;Lamiales;asterids
183733;Salvia rosmarinus;Spenn.;Rosmarinus officinalis;Rosmarinus officinalis;Lamiaceae;Lamiales;asterids
185996;Satureja thymbra;L.;Satureja thymbra;Satureja thymbra;Lamiaceae;Lamiales;asterids
195382;Stachys ocymastrum;(L.) Briq.;Stachys ocymastrum;Stachys ocymastrum;Lamiaceae;Lamiales;asterids
203217;Teucrium capitatum;L.;Teucrium polium;Teucrium capitatum;Lamiaceae;Lamiales;asterids
